Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
22.0,Female,103.1,1.72,168,166.0,59.0,1.07,978.0,HIIT,23.1,1.9,2.0,2.0,16.79
29.0,Female,77.4,1.69,179,132.0,74.0,1.11,712.0,Yoga,27.0,3.5,2.0,3.0,16.23
18.0,Male,84.1,1.78,194,145.0,64.0,2.0,686.0,Cardio,30.3,3.3,3.0,3.0,14.46
29.0,Male,40.0,1.86,180,169.0,63.0,1.26,986.0,Yoga,25.3,1.5,3.0,1.0,19.92
42.0,Male,66.0,1.6,196,159.0,52.0,1.93,1042.0,Strength,16.4,3.5,4.0,2.0,17.81
51.0,Female,84.6,1.77,197,141.0,55.0,1.44,543.0,HIIT,23.4,2.9,5.0,3.0,24.89
51.0,Male,100.7,1.75,185,138.0,73.0,1.5,703.0,Strength,25.5,1.8,4.0,3.0,15.9
22.0,Male,58.6,2.0,165,169.0,57.0,2.0,1402.0,Strength,30.0,3.5,4.0,2.0,20.99
21.0,Female,57.4,1.74,179,161.0,73.0,2.0,457.0,HIIT,27.7,2.5,3.0,1.0,24.67
21.0,Male,69.5,1.54,167,158.0,72.0,1.28,1044.0,Yoga,27.9,2.9,2.0,,14.68
26.0,Female,42.2,1.91,174,127.0,72.0,1.65,455.0,Strength,23.6,2.9,3.0,2.0,24.27
18.0,Male,61.3,1.6,191,135.0,67.0,1.09,609.0,,13.7,1.6,2.0,3.0,14.7
18.0,Male,66.6,1.62,192,156.0,58.0,1.3,1250.0,Cardio,21.3,3.2,5.0,1.0,12.58
37.0,Female,94.4,1.7,193,127.0,70.0,1.27,1183.0,HIIT,16.4,3.4,4.0,1.0,19.3
45.0,Male,111.9,1.73,177,129.0,54.0,0.92,1267.0,Strength,18.3,2.6,4.0,1.0,12.32
18.0,Female,92.0,1.79,199,169.0,56.0,1.77,1105.0,Strength,14.4,,2.0,1.0,20.25
18.0,Female,,1.76,176,167.0,58.0,1.21,912.0,Strength,28.4,3.6,2.0,2.0,25.72
51.0,Male,61.1,1.82,165,163.0,57.0,1.19,1171.0,Yoga,31.7,2.5,4.0,3.0,45.75
18.0,Female,96.0,1.82,198,144.0,58.0,1.19,323.0,Yoga,23.8,1.8,3.0,1.0,12.32
27.0,Female,89.7,1.67,172,130.0,64.0,1.46,729.0,Yoga,27.7,3.4,4.0,2.0,17.56
34.0,Female,61.0,1.69,190,159.0,63.0,0.99,1040.0,Cardio,23.6,3.6,5.0,3.0,18.07
31.0,Female,75.6,1.57,163,152.0,71.0,0.96,668.0,\tYoga,25.8,2.3,4.0,1.0,26.35
23.0,Female,40.0,1.76,,143.0,71.0,1.08,1442.0,Yoga,25.7,3.3,5.0,3.0,12.32
54.0,,46.8,1.67,181,169.0,74.0,1.48,,Strength,25.5,1.5,4.0,1.0,22.04
19.0,Female,90.6,1.85,187,131.0,68.0,1.67,607.0,HIIT,27.5,3.3,2.0,2.0,19.15
47.0,Female,90.8,1.67,186,120.0,74.0,1.43,506.0,Strength,32.0,2.7,3.0,3.0,18.39
33.0,Female,129.9,1.69,168,152.0,74.0,1.61,810.0,Strength,27.5,3.5,,2.0,23.37
50.0,Female,69.3,,162,126.0,62.0,1.33,1138.0,Strength,25.6,1.5,3.0,1.0,22.79
19.0,Female,40.0,1.77,179,139.0,74.0,1.22,1173.0,Yoga,27.7,1.6,3.0,3.0,19.2
27.0,Male,112.6,1.79,174,167.0,60.0,0.69,1282.0,Strength,28.6,1.5,2.0,1.0,22.96
49.0,Male,54.2,1.64,182,147.0,64.0,0.95,914.0,,19.0,3.2,2.0,2.0,23.01
46.0,Male,108.9,1.86,162,165.0,74.0,1.42,936.0,Strength,22.2,1.9,4.0,2.0,27.29
37.0,,69.4,1.61,173,169.0,66.0,1.09,948.0,Strength,28.3,1.5,2.0,1.0,12.32
52.0,Male,40.0,1.6,194,,73.0,1.48,1156.0,Yoga,23.4,2.3,4.0,2.0,27.66
26.0,Male,43.2,1.8,185,149.0,52.0,1.87,1019.0,Cardio,23.5,2.1,4.0,2.0,27.59
45.0,,68.7,1.7,179,126.0,74.0,1.05,1161.0,Cardio,22.9,3.1,4.0,3.0,24.13
18.0,Female,61.1,1.74,191,159.0,69.0,1.36,1311.0,HIIT,15.6,3.4,2.0,2.0,16.61
38.0,Male,85.5,1.77,175,156.0,50.0,1.13,766.0,HIIT,14.6,3.4,2.0,1.0,16.38
18.0,Female,50.1,1.8,174,125.0,50.0,1.38,1185.0,HIIT,30.8,3.4,3.0,2.0,29.04
45.0,Male,129.9,1.75,197,154.0,73.0,1.97,757.0,Cardio,23.5,2.4,5.0,1.0,36.13
47.0,Female,93.3,1.73,184,123.0,62.0,1.45,998.0,Yoga,15.1,1.7,4.0,2.0,12.32
45.0,Female,73.7,1.7,190,167.0,67.0,1.11,1100.0,Yoga,29.1,1.8,2.0,1.0,15.88
55.0,Female,69.4,1.56,175,134.0,70.0,1.48,734.0,Yoga,16.8,,4.0,2.0,23.63
18.0,Male,86.1,2.0,180,158.0,72.0,1.27,1173.0,HIIT,19.7,3.5,2.0,3.0,13.06
20.0,Female,,1.5,198,128.0,50.0,0.97,906.0,Cardio,31.2,3.4,2.0,1.0,21.03
18.0,Female,40.0,1.77,189,137.0,74.0,0.6,829.0,Cardio,24.7,2.6,4.0,1.0,16.35
46.0,Female,40.8,1.71,191,162.0,52.0,0.93,903.0,Yoga,14.2,1.9,2.0,,39.04
43.0,Male,56.4,1.8,174,161.0,74.0,1.03,327.0,Strength,10.0,3.2,3.0,1.0,21.21
45.0,Female,60.7,1.63,170,139.0,74.0,1.18,1356.0,\tCardio,10.0,3.3,3.0,3.0,12.32
43.0,Female,40.0,1.69,187,162.0,66.0,0.9,886.0,Strength,28.0,2.2,2.0,1.0,26.48
29.0,Female,84.4,1.67,184,160.0,74.0,1.28,1475.0,Yoga,10.0,2.1,5.0,2.0,17.62
18.0,Female,67.5,1.71,185,166.0,58.0,1.81,1162.0,Cardio,10.6,3.5,3.0,2.0,37.91
21.0,Female,62.1,1.68,173,158.0,71.0,1.23,1186.0,Yoga,26.4,3.5,4.0,1.0,15.6
41.0,Male,83.7,1.92,161,163.0,59.0,1.37,1308.0,Cardio,21.4,1.5,2.0,2.0,17.48
26.0,Female,80.6,1.86,195,127.0,53.0,2.0,564.0,Strength,23.1,1.5,3.0,2.0,29.21
33.0,Male,60.8,1.78,189,147.0,73.0,1.04,951.0,Cardio,27.3,3.3,4.0,2.0,
18.0,Male,44.8,1.81,164,,57.0,1.2,742.0,HIIT,23.5,3.3,4.0,3.0,19.04
21.0,Male,62.3,1.91,198,141.0,51.0,1.47,1394.0,Yoga,22.7,1.8,3.0,2.0,17.4
49.0,Female,97.4,1.67,171,132.0,72.0,1.97,1091.0,Cardio,30.4,3.6,3.0,1.0,12.32
19.0,Male,51.4,1.78,167,154.0,70.0,2.0,1218.0,Yoga,29.8,2.1,3.0,2.0,13.61
31.0,Male,79.1,1.74,192,167.0,74.0,0.93,1157.0,Cardio,18.7,1.9,2.0,3.0,13.83
43.0,Male,57.5,2.0,172,126.0,64.0,1.4,735.0,Cardio,16.9,2.1,3.0,1.0,20.98
43.0,Female,70.6,1.71,193,148.0,54.0,1.28,725.0,Cardio,27.1,3.6,3.0,1.0,22.55
18.0,Female,72.5,1.79,173,140.0,67.0,1.34,1629.0,Strength,27.3,2.7,5.0,1.0,19.58
44.0,Female,68.0,1.66,182,146.0,68.0,0.82,1278.0,HIIT,20.7,3.0,5.0,1.0,16.02
21.0,Female,121.6,1.78,182,151.0,50.0,1.81,1242.0,Yoga,21.0,3.5,4.0,2.0,16.63
44.0,Male,55.1,1.9,196,165.0,55.0,1.26,901.0,,26.9,2.6,3.0,1.0,22.13
58.0,Female,51.2,1.72,165,139.0,70.0,0.79,1612.0,Yoga,20.6,2.1,3.0,3.0,36.29
35.0,Female,60.8,1.64,161,127.0,74.0,1.57,1132.0,Yoga,20.7,3.7,3.0,3.0,19.54
18.0,Male,49.8,1.96,199,162.0,74.0,1.64,996.0,Strength,,2.3,4.0,2.0,14.35
26.0,Female,64.7,1.75,172,157.0,52.0,1.35,1193.0,Yoga,23.5,1.6,3.0,2.0,18.21
24.0,Female,58.5,1.87,183,128.0,74.0,1.36,1034.0,HIIT,24.8,3.3,4.0,1.0,24.49
31.0,Female,49.1,1.7,162,167.0,63.0,1.1,891.0,Strength,23.5,2.9,3.0,1.0,15.73
39.0,Female,67.8,1.59,164,158.0,74.0,1.65,1374.0,Strength,25.9,2.6,5.0,2.0,25.0
22.0,Male,43.3,1.69,176,158.0,53.0,1.31,500.0,,23.7,1.5,2.0,2.0,13.83
44.0,Female,40.8,1.74,177,165.0,72.0,,384.0,HIIT,10.0,,3.0,1.0,13.11
18.0,Male,71.5,1.69,186,124.0,60.0,1.53,763.0,Yoga,16.9,2.5,2.0,1.0,15.8
50.0,Male,41.1,1.51,169,152.0,63.0,2.0,1069.0,Strength,24.9,1.5,4.0,2.0,31.59
27.0,Male,52.3,1.6,177,124.0,66.0,0.93,416.0,Strength,22.5,,5.0,2.0,31.64
28.0,Male,73.2,1.76,171,159.0,61.0,1.21,973.0,HIIT,26.4,2.0,4.0,1.0,12.32
41.0,Female,117.7,1.67,189,123.0,58.0,2.0,1243.0,Yoga,26.2,3.2,2.0,1.0,17.26
31.0,Male,63.8,1.74,199,140.0,55.0,1.5,741.0,HIIT,28.1,1.6,3.0,2.0,25.22
31.0,Male,62.1,1.71,172,169.0,55.0,1.52,854.0,HIIT,27.4,3.7,3.0,3.0,
18.0,Male,52.0,1.66,199,137.0,74.0,2.0,1314.0,Cardio,26.7,3.3,3.0,1.0,20.41
25.0,Female,73.3,1.5,185,169.0,67.0,1.38,433.0,Strength,30.6,1.5,4.0,1.0,22.55
18.0,Male,50.0,1.83,163,140.0,64.0,1.41,969.0,Yoga,19.0,1.9,3.0,2.0,14.29
34.0,Male,90.0,1.74,194,167.0,57.0,1.36,764.0,Cardio,25.0,2.6,4.0,2.0,13.77
39.0,Male,109.6,1.84,199,152.0,74.0,1.27,790.0,HIIT,26.7,3.5,2.0,2.0,19.77
18.0,Male,43.5,1.77,161,136.0,57.0,2.0,452.0,Cardio,24.4,3.3,5.0,1.0,21.96
20.0,Male,115.4,1.73,187,154.0,63.0,1.12,878.0,Yoga,30.7,3.5,3.0,1.0,27.02
22.0,Male,47.4,1.91,161,164.0,73.0,2.0,1206.0,Cardio,26.6,3.5,5.0,3.0,15.36
18.0,Male,54.6,1.66,189,142.0,64.0,1.19,523.0,HIIT,34.7,2.6,2.0,1.0,18.88
36.0,Male,40.0,2.0,193,121.0,,1.98,1282.0,Yoga,25.7,2.6,4.0,1.0,27.96
26.0,Female,71.2,2.0,169,159.0,52.0,1.42,749.0,Strength,29.8,3.5,4.0,2.0,27.16
53.0,Female,46.4,1.7,169,120.0,72.0,1.49,1415.0,Yoga,21.9,3.4,4.0,2.0,14.08
18.0,Female,69.9,1.78,160,143.0,74.0,2.0,930.0,HIIT,19.6,2.0,3.0,3.0,12.32
20.0,Male,64.9,1.69,187,128.0,54.0,0.68,1303.0,Cardio,10.0,3.3,4.0,3.0,14.87
43.0,Female,47.6,1.65,198,140.0,61.0,2.0,692.0,Cardio,22.0,3.5,3.0,2.0,22.14
23.0,Male,48.9,1.7,168,156.0,65.0,1.4,1776.0,Yoga,32.5,2.1,,2.0,21.36
38.0,,78.6,1.98,194,136.0,69.0,1.3,1590.0,Strength,27.2,2.3,4.0,2.0,25.52
51.0,Female,72.2,1.91,184,140.0,70.0,1.39,960.0,HIIT,21.0,1.5,3.0,2.0,17.41
54.0,Female,79.8,1.94,163,120.0,63.0,1.53,827.0,Yoga,25.3,3.3,4.0,2.0,12.32
22.0,Male,62.8,1.71,182,153.0,70.0,2.0,816.0,Yoga,15.8,,3.0,2.0,14.23
26.0,Female,122.7,,191,151.0,72.0,1.14,524.0,Strength,24.3,1.5,2.0,3.0,17.44
23.0,Female,52.4,1.86,166,130.0,59.0,1.53,880.0,Yoga,21.6,1.5,4.0,2.0,12.32
42.0,,67.7,1.82,199,125.0,55.0,0.76,1239.0,Cardio,15.0,3.4,2.0,2.0,21.78
34.0,Female,88.8,1.56,198,160.0,53.0,1.18,1086.0,Cardio,32.6,3.4,4.0,2.0,30.43
29.0,Female,101.5,1.9,175,165.0,74.0,1.46,1128.0,Yoga,26.3,2.7,2.0,1.0,25.74
18.0,Male,40.0,1.72,195,137.0,52.0,2.0,1783.0,Cardio,18.6,1.5,4.0,1.0,12.77
24.0,Male,40.0,2.0,173,126.0,50.0,1.1,1783.0,Cardio,31.9,1.6,3.0,1.0,34.62
,Male,50.5,1.76,192,156.0,72.0,1.25,768.0,Cardio,12.8,1.7,4.0,2.0,16.06
41.0,Female,66.2,1.83,196,126.0,74.0,1.6,993.0,Yoga,20.2,2.5,5.0,1.0,24.37
37.0,Female,77.5,1.5,175,142.0,70.0,1.58,1141.0,Yoga,21.2,1.8,3.0,,12.32
30.0,Female,119.6,1.72,191,150.0,74.0,1.77,1006.0,Yoga,13.1,2.2,4.0,3.0,13.32
38.0,Male,40.0,1.5,172,169.0,59.0,1.52,1107.0,HIIT,24.9,2.8,3.0,1.0,36.71
18.0,Male,82.3,1.74,198,155.0,55.0,1.38,1368.0,Strength,26.0,3.3,2.0,3.0,17.15
54.0,Male,71.2,1.7,190,120.0,58.0,1.21,708.0,,14.4,3.1,4.0,2.0,12.46
34.0,Male,53.0,1.92,199,134.0,68.0,1.12,790.0,Strength,19.8,3.5,4.0,3.0,16.18
56.0,Female,45.7,1.96,192,153.0,71.0,2.0,868.0,Yoga,11.4,2.0,4.0,2.0,21.34
18.0,Female,79.6,1.75,168,125.0,54.0,1.26,682.0,HIIT,25.1,2.4,3.0,2.0,12.32
42.0,Female,105.3,1.67,175,143.0,74.0,1.1,1115.0,Strength,25.4,3.3,3.0,1.0,12.32
31.0,Male,84.5,1.56,194,124.0,70.0,1.31,734.0,Strength,23.6,3.3,2.0,2.0,21.57
50.0,Male,98.6,1.54,187,126.0,57.0,0.72,940.0,Strength,23.5,1.6,3.0,1.0,12.32
27.0,Male,55.4,1.72,186,153.0,74.0,2.0,1281.0,\nStrength,10.9,2.4,4.0,2.0,14.56
41.0,Female,40.0,1.77,168,154.0,74.0,1.14,628.0,HIIT,19.9,3.4,5.0,1.0,24.52
26.0,Female,63.9,1.75,199,121.0,72.0,2.0,638.0,HIIT,23.6,3.4,4.0,2.0,23.96
47.0,Male,40.0,1.91,185,,74.0,1.41,608.0,Cardio,24.3,2.9,3.0,1.0,27.2
31.0,Female,40.0,2.0,192,134.0,55.0,1.44,1116.0,Strength,12.0,2.6,2.0,2.0,21.2
27.0,Male,91.9,1.5,185,154.0,60.0,1.08,825.0,HIIT,28.8,3.2,5.0,2.0,21.07
20.0,Female,42.4,1.69,198,129.0,58.0,0.77,1030.0,HIIT,28.1,1.5,,1.0,20.39
21.0,Male,76.8,1.52,191,140.0,66.0,1.08,702.0,Cardio,21.0,3.6,3.0,2.0,25.59
47.0,Female,70.7,1.66,195,169.0,60.0,1.25,1033.0,\tYoga,16.7,3.5,4.0,2.0,14.61
33.0,Male,40.0,1.88,196,162.0,58.0,1.59,1131.0,Yoga,30.4,2.6,3.0,1.0,21.91
59.0,Male,40.0,1.56,163,167.0,74.0,1.59,722.0,Cardio,23.7,3.2,4.0,3.0,12.32
43.0,Male,46.8,1.67,178,141.0,64.0,1.03,1403.0,Cardio,26.1,3.2,3.0,1.0,14.13
27.0,Male,100.7,1.75,163,166.0,61.0,1.28,1159.0,Cardio,28.1,3.7,3.0,1.0,12.32
44.0,Female,73.4,1.59,199,152.0,72.0,0.94,721.0,Cardio,23.0,2.2,4.0,1.0,33.25
22.0,Male,63.4,1.83,196,169.0,71.0,1.66,466.0,Cardio,28.0,3.4,2.0,3.0,24.61
19.0,Female,129.9,1.71,161,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4.0,2.0,12.32
24.0,Female,48.3,1.73,193,136.0,62.0,1.98,1404.0,Strength,22.0,3.5,3.0,1.0,13.22
45.0,Female,80.5,1.89,183,134.0,74.0,1.02,1311.0,HIIT,24.6,1.9,4.0,1.0,12.32
35.0,Female,42.9,1.51,163,131.0,74.0,2.0,526.0,Cardio,15.3,3.3,5.0,,13.74
18.0,Male,74.6,1.88,177,166.0,53.0,2.0,1010.0,Cardio,18.0,2.2,5.0,1.0,30.5
21.0,Male,66.7,1.93,175,166.0,63.0,1.26,949.0,Yoga,27.8,3.4,2.0,2.0,13.53
31.0,Female,55.0,1.6,172,164.0,53.0,1.85,1361.0,Strength,20.6,3.4,4.0,1.0,16.04
27.0,Female,52.3,1.77,193,130.0,57.0,2.0,993.0,Yoga,25.6,,4.0,1.0,15.08
46.0,Male,65.7,1.75,192,135.0,59.0,1.31,881.0,Strength,10.0,2.7,2.0,1.0,31.78
53.0,Female,84.7,1.61,193,158.0,72.0,2.0,478.0,Yoga,25.6,2.4,3.0,1.0,18.57
18.0,,80.4,1.97,172,137.0,74.0,1.62,617.0,Strength,22.4,3.4,3.0,1.0,16.91
18.0,Female,63.4,1.85,191,148.0,69.0,0.89,1106.0,Strength,21.4,2.3,5.0,3.0,15.64
48.0,Female,61.8,1.71,172,140.0,62.0,1.37,1266.0,Cardio,28.6,3.6,4.0,1.0,23.64
53.0,,64.4,1.58,198,158.0,74.0,1.82,1144.0,Yoga,27.2,3.0,2.0,1.0,18.33
25.0,Male,44.2,1.9,174,159.0,50.0,1.1,1293.0,Yoga,25.7,2.5,4.0,2.0,19.26
18.0,Female,43.1,1.75,183,138.0,53.0,1.95,437.0,Cardio,19.1,3.6,2.0,2.0,18.14
18.0,Male,92.1,1.59,171,150.0,54.0,1.17,968.0,Yoga,21.8,2.4,5.0,2.0,25.66
31.0,Male,58.7,1.66,183,149.0,74.0,1.15,1368.0,Cardio,23.1,2.3,4.0,1.0,12.32
44.0,Female,59.4,1.67,197,164.0,53.0,1.31,676.0,Cardio,24.8,,3.0,2.0,19.28
59.0,Female,44.5,1.84,183,154.0,71.0,1.28,787.0,Cardio,26.5,1.7,2.0,2.0,20.22
44.0,Female,84.8,2.0,196,155.0,70.0,1.66,1439.0,HIIT,12.1,1.7,2.0,1.0,14.34
57.0,Female,80.0,1.79,167,127.0,54.0,1.01,312.0,Yoga,24.3,2.6,4.0,2.0,13.16
20.0,Male,87.1,1.91,186,150.0,51.0,1.39,1431.0,Yoga,27.0,2.8,3.0,3.0,21.51
27.0,Male,56.4,1.76,198,129.0,71.0,1.79,488.0,HIIT,22.9,3.3,4.0,1.0,17.49
32.0,Male,58.4,2.0,179,139.0,60.0,1.21,1379.0,Strength,23.3,3.2,4.0,2.0,22.61
42.0,Female,68.5,1.75,187,167.0,54.0,1.3,708.0,Cardio,15.4,1.6,4.0,1.0,33.91
48.0,Female,77.7,1.76,,156.0,53.0,2.0,1153.0,Cardio,28.4,2.4,3.0,1.0,25.3
55.0,Female,67.1,1.58,199,122.0,71.0,1.86,960.0,Strength,21.7,1.5,4.0,2.0,28.07
31.0,Female,55.7,1.8,168,167.0,64.0,1.53,600.0,HIIT,34.4,2.8,4.0,3.0,25.27
39.0,Female,63.2,1.74,181,157.0,54.0,1.62,900.0,Strength,13.9,2.1,5.0,1.0,15.32
40.0,Female,64.6,1.55,198,133.0,74.0,1.39,303.0,Strength,21.4,1.5,2.0,2.0,16.91
35.0,Male,55.0,,172,149.0,62.0,1.43,1423.0,Strength,30.0,3.5,3.0,2.0,23.55
36.0,Female,71.9,1.66,177,,73.0,0.96,556.0,Yoga,23.3,3.2,2.0,2.0,14.97
26.0,Female,56.7,1.73,168,144.0,71.0,0.68,1129.0,Strength,25.5,3.4,3.0,1.0,19.65
48.0,Male,56.0,1.7,164,132.0,50.0,2.0,1148.0,HIIT,26.6,3.1,2.0,2.0,19.44
54.0,Female,74.9,1.69,195,153.0,62.0,1.1,1389.0,Yoga,14.4,3.1,3.0,1.0,18.71
55.0,Female,,1.68,164,156.0,67.0,1.59,851.0,Cardio,33.1,2.8,3.0,2.0,28.23
18.0,Female,43.0,1.95,163,164.0,68.0,2.0,1349.0,Strength,18.5,3.2,2.0,2.0,12.32
59.0,Male,70.2,1.77,172,124.0,68.0,1.47,1069.0,Cardio,21.4,3.5,4.0,1.0,40.19
23.0,Male,96.5,1.8,187,155.0,68.0,0.92,1465.0,Yoga,29.3,3.2,3.0,1.0,12.32
30.0,Male,56.6,2.0,184,125.0,52.0,1.29,918.0,Cardio,28.9,3.3,2.0,1.0,23.89
38.0,Female,40.0,1.88,164,154.0,70.0,1.63,1109.0,Yoga,20.7,1.7,2.0,2.0,12.64
18.0,Male,101.2,1.59,198,122.0,58.0,1.08,,Strength,28.6,3.1,4.0,2.0,19.39
48.0,Female,81.9,1.8,180,165.0,67.0,1.25,1410.0,Cardio,24.0,3.5,4.0,2.0,18.28
47.0,Male,121.4,1.61,164,155.0,74.0,0.94,934.0,Strength,24.7,2.5,2.0,1.0,30.03
21.0,Female,70.5,1.84,173,127.0,66.0,0.97,1013.0,Cardio,26.7,1.6,5.0,3.0,25.59
23.0,Female,70.5,1.65,192,162.0,50.0,0.63,1186.0,Cardio,27.1,2.6,2.0,2.0,20.02
46.0,Male,54.8,1.69,194,148.0,74.0,0.52,846.0,Yoga,16.5,3.5,3.0,3.0,22.85
42.0,Male,72.0,1.9,184,147.0,67.0,1.48,1047.0,Yoga,15.6,3.4,3.0,1.0,24.6
29.0,Male,56.3,1.81,189,166.0,65.0,1.39,1066.0,Strength,14.3,2.9,3.0,1.0,22.34
18.0,Male,46.5,1.54,198,169.0,55.0,,1060.0,Cardio,28.9,3.1,5.0,1.0,14.01
47.0,Female,51.4,1.88,176,125.0,58.0,0.88,1133.0,Yoga,24.0,3.3,3.0,3.0,14.3
43.0,Male,42.6,1.62,189,169.0,74.0,1.0,1213.0,Strength,13.6,3.5,2.0,,21.81
18.0,Male,73.0,1.78,161,131.0,50.0,2.0,1319.0,Strength,26.1,1.5,5.0,1.0,12.32
50.0,Male,87.9,1.68,192,151.0,71.0,2.0,494.0,Strength,15.5,3.1,3.0,3.0,31.28
35.0,Male,53.0,1.67,183,128.0,72.0,1.29,682.0,Yoga,21.9,2.2,3.0,2.0,16.71
43.0,Female,46.3,1.61,190,136.0,69.0,2.0,1185.0,Yoga,21.4,3.5,4.0,1.0,14.14
50.0,Male,82.8,1.9,161,130.0,74.0,1.51,1151.0,,16.8,3.3,4.0,3.0,28.59
53.0,Female,82.9,1.6,170,148.0,55.0,1.93,541.0,HIIT,17.8,2.5,3.0,2.0,12.33
18.0,Female,71.9,1.54,177,120.0,73.0,1.17,817.0,Strength,16.8,2.6,3.0,1.0,29.64
27.0,Male,41.0,1.82,171,138.0,53.0,1.47,1273.0,Cardio,29.1,2.4,4.0,1.0,12.35
18.0,Female,81.9,1.79,178,160.0,60.0,1.24,1172.0,,28.5,1.7,3.0,3.0,12.32
18.0,Male,67.7,1.69,192,123.0,57.0,1.44,1445.0,Cardio,26.8,3.1,3.0,2.0,21.16
22.0,Female,99.5,1.79,186,122.0,56.0,1.45,1783.0,Cardio,27.6,3.5,2.0,2.0,23.56
31.0,Female,47.4,1.73,178,150.0,57.0,1.64,962.0,Cardio,28.8,2.0,4.0,3.0,20.91
18.0,Male,71.1,1.84,189,127.0,74.0,0.85,1303.0,Strength,15.2,2.8,2.0,3.0,30.36
22.0,Male,89.8,1.79,179,163.0,59.0,2.0,1098.0,Strength,28.2,1.7,3.0,1.0,12.32
28.0,Female,81.7,1.81,177,130.0,50.0,1.45,507.0,Cardio,23.2,1.7,3.0,1.0,34.26
40.0,Male,40.4,1.68,171,130.0,54.0,2.0,527.0,Strength,27.3,3.3,4.0,3.0,20.47
56.0,Male,40.0,1.63,181,133.0,50.0,0.89,1674.0,Yoga,23.4,1.5,3.0,2.0,20.75
41.0,Male,40.2,1.76,198,135.0,56.0,1.93,964.0,Strength,18.8,3.4,4.0,1.0,19.02
47.0,Male,49.9,1.74,190,120.0,65.0,1.97,406.0,HIIT,29.4,1.5,5.0,2.0,16.01
42.0,Male,41.9,1.84,168,154.0,71.0,1.49,1029.0,,30.6,2.6,4.0,2.0,22.97
26.0,Male,40.0,1.72,164,169.0,58.0,0.89,1198.0,HIIT,17.0,1.6,5.0,2.0,20.71
18.0,Male,47.3,1.75,196,169.0,56.0,1.32,706.0,Cardio,29.0,1.9,2.0,2.0,30.5
54.0,Male,79.6,1.87,190,155.0,53.0,,884.0,Strength,27.7,3.5,2.0,2.0,12.32
19.0,Female,76.6,1.84,188,138.0,71.0,1.72,699.0,HIIT,28.3,3.5,4.0,1.0,19.76
32.0,Female,69.5,1.65,192,140.0,52.0,1.71,1163.0,Cardio,29.8,3.5,4.0,1.0,15.8
46.0,Female,68.6,1.63,177,150.0,58.0,2.0,1074.0,Strength,25.8,3.6,3.0,3.0,19.42
46.0,Male,73.0,2.0,184,123.0,64.0,0.9,1159.0,Cardio,10.0,3.4,5.0,3.0,14.91
52.0,Female,40.8,1.71,181,169.0,73.0,1.44,303.0,Yoga,28.3,1.6,3.0,1.0,18.31
19.0,Male,42.1,1.6,194,148.0,73.0,1.27,1305.0,Cardio,12.7,3.3,2.0,2.0,16.65
34.0,Male,40.0,1.82,176,141.0,66.0,1.34,1709.0,Cardio,24.1,3.0,4.0,1.0,15.3
18.0,Female,67.1,1.71,174,165.0,74.0,1.84,577.0,\nStrength,27.1,2.7,4.0,3.0,24.9
53.0,Male,67.2,1.68,190,138.0,55.0,1.67,924.0,,22.6,1.5,3.0,1.0,13.91
29.0,Male,72.1,2.0,166,124.0,67.0,2.0,1582.0,Strength,32.7,3.4,3.0,2.0,21.75
49.0,Female,62.0,1.87,195,125.0,74.0,1.04,842.0,HIIT,20.0,3.5,3.0,1.0,22.02
52.0,Male,71.3,1.84,197,126.0,73.0,1.22,765.0,Cardio,29.2,1.8,2.0,,12.32
28.0,,85.6,1.54,168,128.0,59.0,1.45,860.0,Yoga,14.9,2.4,4.0,1.0,12.32
21.0,Male,51.9,1.57,170,167.0,73.0,1.25,1082.0,Strength,27.5,1.6,3.0,2.0,18.89
33.0,Male,92.8,1.59,161,150.0,52.0,1.19,1640.0,Cardio,23.8,2.6,3.0,3.0,15.84
58.0,Female,40.0,1.7,193,120.0,52.0,0.99,1178.0,Yoga,21.2,2.5,5.0,1.0,12.32
36.0,Female,44.9,1.79,166,120.0,74.0,1.66,811.0,HIIT,16.2,3.3,3.0,1.0,29.4
33.0,Male,78.6,1.7,161,168.0,65.0,2.0,855.0,Cardio,10.0,3.2,2.0,1.0,16.53
42.0,Female,54.0,1.69,179,169.0,53.0,1.19,458.0,,25.7,3.3,3.0,3.0,14.91
29.0,Male,53.8,1.66,163,133.0,64.0,2.0,1187.0,Strength,34.5,1.5,4.0,1.0,23.95
26.0,Female,91.7,1.58,167,120.0,52.0,1.65,1334.0,Cardio,29.2,2.6,2.0,2.0,
44.0,Male,63.3,1.88,189,150.0,74.0,1.02,1184.0,Strength,16.5,3.5,4.0,1.0,13.03
42.0,Female,98.1,1.73,165,120.0,69.0,1.52,477.0,Yoga,21.7,1.9,2.0,2.0,15.29
39.0,Male,129.9,1.81,190,140.0,74.0,1.89,,HIIT,14.9,2.5,2.0,3.0,26.54
56.0,,40.0,1.85,194,158.0,67.0,1.43,1633.0,Yoga,30.6,1.9,4.0,1.0,21.57
32.0,Male,87.2,1.5,193,152.0,58.0,1.28,1538.0,Cardio,23.2,2.1,3.0,3.0,16.29
31.0,Male,64.8,1.71,174,164.0,57.0,1.64,857.0,HIIT,26.2,2.7,4.0,,23.64
